backend,mode,extra_args,concurrency,run_id,status,total_throughput,h1,h2,h3,h4,h5,cpu_all_avg,cpu_leader_avg,leader_queue_depth_avg,fastpath_attempt_rate,fastpath_success_rate,original_path_rate,error_count,error_summary,log_path
zookeeper,fastpath-100,-m 100,75,83,OK,4458.60,896.40,892.60,891.80,889.60,888.20,NA,11.2900,410.5087,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc75_attempt0.log
zookeeper,fastpath-100,-m 100,100,84,OK,4743.00,961.40,945.40,943.00,945.00,948.20,NA,9.4700,935.1416,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc100_attempt0.log
zookeeper,fastpath-100,-m 100,150,85,OK,4729.90,958.80,943.00,943.00,941.00,944.10,NA,9.5300,3819.3746,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc150_attempt0.log
zookeeper,fastpath-100,-m 100,200,86,OK,5436.40,1106.70,1078.50,1086.90,1081.00,1083.30,NA,11.9400,5045.6490,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc200_attempt0.log
zookeeper,fastpath-100,-m 100,300,87,OK,5456.40,1086.00,1098.50,1079.80,1079.40,1112.70,NA,11.9000,4745.2596,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc300_attempt0.log
zookeeper,fastpath-100,-m 100,400,88,OK,4930.80,1023.80,988.50,979.00,968.50,971.00,NA,14.2700,5417.5591,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc400_attempt0.log
zookeeper,adaptive,,1,89,OK,39.30,8.00,7.60,7.70,8.00,8.00,NA,6.6300,2.6624,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc1_attempt0.log
zookeeper,adaptive,,5,90,OK,272.70,54.50,53.80,53.90,55.30,55.20,NA,7.2900,12.6260,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc5_attempt0.log
zookeeper,adaptive,,10,91,OK,567.20,115.00,112.00,112.80,113.10,114.30,NA,7.5900,25.3887,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc10_attempt0.log
zookeeper,adaptive,,25,92,OK,1462.80,291.30,293.90,290.70,292.80,294.10,NA,6.0900,66.0173,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc25_attempt0.log
zookeeper,adaptive,,50,93,OK,2958.30,587.80,590.90,592.10,595.70,591.80,NA,5.4800,143.6791,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc50_attempt0.log
zookeeper,adaptive,,75,94,OK,4459.10,892.90,893.40,889.50,894.50,888.80,NA,5.7900,327.4907,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc75_attempt0.log
zookeeper,adaptive,,100,95,OK,5054.20,1027.90,1006.40,1006.50,1008.20,1005.20,NA,6.7200,1022.2242,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc100_attempt0.log
zookeeper,adaptive,,150,96,OK,5486.00,1097.50,1090.60,1092.20,1118.70,1087.00,NA,5.9300,3084.9261,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc150_attempt0.log
zookeeper,adaptive,,200,97,OK,4620.80,943.10,926.10,911.60,917.40,922.60,NA,6.9300,4969.5728,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc200_attempt0.log
zookeeper,adaptive,,300,98,OK,5380.30,1063.80,1071.10,1096.50,1069.50,1079.40,NA,8.6900,5090.6952,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc300_attempt0.log
zookeeper,adaptive,,400,99,OK,5422.80,1120.60,1076.80,1083.20,1067.10,1075.10,NA,9.4400,5927.9521,NA,NA,NA,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-zookeeper_rule_zookeeper/conc400_attempt0.log
